            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451563.500000000, A.D. 2000-Jan-20 00:00:00.0000,  2.060243750232581E+08,  3.980216186087833E+07, -4.230681857570948E+06, -3.666782963606103E+00,  2.585752757889396E+01,  6.318215525026165E-01,
2451564.500000000, A.D. 2000-Jan-21 00:00:00.0000,  2.056965378640743E+08,  4.203408146237458E+07, -4.175866899595872E+06, -3.921904150145941E+00,  2.580683058656021E+01,  6.370305209788114E-01,
2451565.500000000, A.D. 2000-Jan-22 00:00:00.0000,  2.053466939522007E+08,  4.426150510017689E+07, -4.120605189180860E+06, -4.176193302168469E+00,  2.575345689762896E+01,  6.421629542223499E-01,
2451566.500000000, A.D. 2000-Jan-23 00:00:00.0000,  2.049749165182923E+08,  4.648420218603642E+07, -4.064903357337477E+06, -4.429619381407380E+00,  2.569742232365764E+01,  6.472184268425121E-01,
2451567.500000000, A.D. 2000-Jan-24 00:00:00.0000,  2.045812814607796E+08,  4.870194351406627E+07, -4.008768071621532E+06, -4.682151695530130E+00,  2.563874305863014E+01,  6.521965294525049E-01,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000,  2.041658673157982E+08,  5.091450129546285E+07, -3.952206034684326E+06, -4.933759896471788E+00,  2.557743567508847E+01,  6.570968654015061E-01,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000,  2.037287552267727E+08,  5.312164919240791E+07, -3.895223982904950E+06, -5.184413980857442E+00,  2.551351714062322E+01,  6.619190494191773E-01,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000,  2.032700289134280E+08,  5.532316235114025E+07, -3.837828684984796E+06, -5.434084298607228E+00,  2.544700482453178E+01,  6.666627095899997E-01,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000,  2.027897746401744E+08,  5.751881743435936E+07, -3.780026940445386E+06, -5.682741566237235E+00,  2.537791648102715E+01,  6.713274909036002E-01,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000,  2.022880811840372E+08,  5.970839265301801E+07, -3.721825578111295E+06, -5.930356882720355E+00,  2.530627022561494E+01,  6.759130599112133E-01,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000,  2.017650398023096E+08,  6.189166779735784E+07, -3.663231454669431E+06, -6.176901741426434E+00,  2.523208451979470E+01,  6.804191082375350E-01,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  2.012207441998971E+08,  6.406842426699762E+07, -3.604251453283809E+06, -6.422348027815101E+00,  2.515537816011650E+01,  6.848453492510576E-01,
